Time 	 Hydrogen 	 H 	 H+ 	 H- 	 H2 	 H2+ 
2.3625e+14 	 1000 	 0.0881765 	 4.48569e-05 	 1.49703e-12 	 0.911779 	 1.8332e-10 
2.394e+14 	 1000 	 0.0876403 	 4.47406e-05 	 1.49302e-12 	 0.912315 	 1.83389e-10 
2.4255e+14 	 1000 	 0.087115 	 4.46263e-05 	 1.48909e-12 	 0.91284 	 1.83457e-10 
2.457e+14 	 1000 	 0.0866143 	 4.4517e-05 	 1.48533e-12 	 0.913341 	 1.83522e-10 
2.4885e+14 	 1000 	 0.0861235 	 4.44096e-05 	 1.48164e-12 	 0.913832 	 1.83585e-10 
2.52e+14 	 1000 	 0.0856496 	 4.43057e-05 	 1.47806e-12 	 0.914306 	 1.83646e-10 
2.5515e+14 	 1000 	 0.0851916 	 4.42049e-05 	 1.47459e-12 	 0.914764 	 1.83705e-10 
2.583e+14 	 1000 	 0.0847487 	 4.41073e-05 	 1.47123e-12 	 0.915207 	 1.83762e-10 
2.6145e+14 	 1000 	 0.0843201 	 4.40125e-05 	 1.46797e-12 	 0.915636 	 1.83817e-10 
2.646e+14 	 1000 	 0.0839058 	 4.39208e-05 	 1.46481e-12 	 0.91605 	 1.83871e-10 
2.6775e+14 	 1000 	 0.0835053 	 4.38318e-05 	 1.46175e-12 	 0.916451 	 1.83922e-10 
2.709e+14 	 1000 	 0.0831223 	 4.37466e-05 	 1.45881e-12 	 0.916834 	 1.83972e-10 
2.7405e+14 	 1000 	 0.0827471 	 4.36629e-05 	 1.45593e-12 	 0.917209 	 1.8402e-10 
2.772e+14 	 1000 	 0.0823846 	 4.35819e-05 	 1.45314e-12 	 0.917572 	 1.84067e-10 
2.8035e+14 	 1000 	 0.0820327 	 4.35031e-05 	 1.45043e-12 	 0.917924 	 1.84112e-10 
2.835e+14 	 1000 	 0.0816921 	 4.34267e-05 	 1.4478e-12 	 0.918264 	 1.84156e-10 
2.8665e+14 	 1000 	 0.0813624 	 4.33525e-05 	 1.44525e-12 	 0.918594 	 1.84198e-10 
2.898e+14 	 1000 	 0.081044 	 4.32808e-05 	 1.44278e-12 	 0.918913 	 1.84239e-10 
2.9295e+14 	 1000 	 0.0807346 	 4.3211e-05 	 1.44037e-12 	 0.919222 	 1.84279e-10 
2.961e+14 	 1000 	 0.0804352 	 4.31434e-05 	 1.43804e-12 	 0.919522 	 1.84317e-10 
2.9925e+14 	 1000 	 0.0801451 	 4.30777e-05 	 1.43578e-12 	 0.919812 	 1.84355e-10 
3.024e+14 	 1000 	 0.0798643 	 4.3014e-05 	 1.43359e-12 	 0.920093 	 1.84391e-10 
3.0555e+14 	 1000 	 0.0795956 	 4.2953e-05 	 1.43148e-12 	 0.920361 	 1.84425e-10 
3.087e+14 	 1000 	 0.0793321 	 4.2893e-05 	 1.42942e-12 	 0.920625 	 1.84459e-10 
3.1185e+14 	 1000 	 0.0790766 	 4.28348e-05 	 1.42741e-12 	 0.920881 	 1.84492e-10 
3.15e+14 	 1000 	 0.0788288 	 4.27783e-05 	 1.42546e-12 	 0.921128 	 1.84523e-10 
3.1815e+14 	 1000 	 0.078589 	 4.27235e-05 	 1.42358e-12 	 0.921368 	 1.84554e-10 
3.213e+14 	 1000 	 0.0783563 	 4.26702e-05 	 1.42174e-12 	 0.921601 	 1.84584e-10 
3.2445e+14 	 1000 	 0.0781312 	 4.26187e-05 	 1.41996e-12 	 0.921826 	 1.84613e-10 
3.276e+14 	 1000 	 0.077913 	 4.25686e-05 	 1.41824e-12 	 0.922044 	 1.84641e-10 
3.3075e+14 	 1000 	 0.0777011 	 4.25199e-05 	 1.41656e-12 	 0.922256 	 1.84668e-10 
3.339e+14 	 1000 	 0.0774957 	 4.24727e-05 	 1.41493e-12 	 0.922462 	 1.84694e-10 
3.3705e+14 	 1000 	 0.0772968 	 4.24269e-05 	 1.41335e-12 	 0.922661 	 1.8472e-10 
3.402e+14 	 1000 	 0.0771038 	 4.23824e-05 	 1.41182e-12 	 0.922854 	 1.84745e-10 
